id,class,position,file,horizontal_symmetry,vertical_symmetry,vgg_pixels,vgg1,vgg1_conf,vgg1_correct,vgg2,vgg2_conf,vgg2_correct,vgg3,vgg3_conf,vgg3_correct,vgg_correct,incep_pixels,incep1,incep1_conf,incep1_correct,incep2,incep2_conf,incep2_correct,incep3,incep3_conf,incep3_correct,incep_correct,NAS_pixels,NAS1,NAS1_conf,NAS1_correct,NAS2,NAS2_conf,NAS2_correct,NAS3,NAS3_conf,NAS3_correct,NAS_correct
29,notebook,straight_on,notebook-straight_on.jpg,no,yes,224,notebook,0.64,yes,mouse,0.04,no,desktop_computer,0.03,no,yes,299,notebook,0.25,yes,mouse,0.24,no,computer_keyboard,0.10,no,yes,331,notebook,0.25,yes,desktop_computer,0.18,no,mouse,0.14,no,yes
30,notebook,upside_down,notebook-upside_down.jpg,no,yes,224,washbasin,0.26,no,pedestal,0.09,no,ashcan,0.04,no,no,299,pedestal,0.12,no,chest,0.06,no,wallet,0.05,no,no,331,notebook,0.81,yes,loudspeaker,0.02,yes,birdhouse,0.01,no,yes
31,soap_dispenser,back,soap_dispenser-back.jpg,no,no,224,soap_dispenser,0.90,yes,lotion,0.00,no,water_bottle,0.00,no,yes,299,lotion,0.66,no,soap_dispenser,0.20,yes,sunscreen,0.02,no,yes,331,lotion,0.58,no,soap_dispenser,0.25,yes,sunscreen,0.01,no,yes
32,soap_dispenser,from_left,soap_dispenser-from_left.jpg,no,no,224,soap_dispenser,0.88,yes,water_bottle,0.06,no,lotion,0.01,no,yes,299,lotion,0.54,no,hair_spray,0.10,no,sunscreen,0.06,no,no,331,lotion,0.39,no,soap_dispenser,0.32,yes,water_bottle,0.05,no,yes
33,soap_dispenser,from_right,soap_dispenser-from_right.jpg,no,no,224,soap_dispenser,0.85,yes,water_bottle,0.05,no,lotion,0.05,no,yes,299,lotion,0.40,no,sunscreen,0.10,no,soap_dispenser,0.09,yes,yes,331,lotion,0.80,no,soap_dispenser,0.05,yes,sunscreen,0.01,no,yes
34,soap_dispenser,on_its_side,soap_dispenser-on_its_side.jpg,no,no,224,water_bottle,0.26,no,pill_bottle,0.16,no,oil_filter,0.09,no,no,299,syringe,0.30,no,lotion,0.11,no,nipple,0.03,no,no,331,sunscreen,0.26,no,pill_bottle,0.18,no,lotion,0.15,no,no
35,soap_dispenser,overhead,soap_dispenser-overhead.jpg,no,no,224,hook,0.30,no,safety_pin,0.17,no,screw,0.04,no,no,299,ping_pong_ball,0.83,no,spotlight,0.03,no,hair_slide,0.02,no,no,331,spotlight,0.78,no,dumbbell,0.06,no,table_lamp,0.04,no,no
36,soap_dispenser,rotated_from_side,soap_dispenser-rotated_from_side.jpg,no,no,224,soap_dispenser,0.90,yes,syringe,0.03,no,lotion,0.02,no,yes,299,lotion,0.57,no,soap_dispenser,0.39,yes,hair_spray,0.01,no,yes,331,lotion,0.46,no,soap_dispenser,0.34,yes,sunscreen,0.01,no,yes
37,soap_dispenser,rotated_upside_down,soap_dispenser-rotated_upside_down.jpg,no,no,224,soap_dispenser,0.43,yes,water_bottle,0.10,no,medicine_chest,0.03,no,yes,299,soap_dispenser,0.87,yes,lotion,0.10,no,hair_spray,0.00,no,yes,331,soap_dispenser,0.53,yes,water_bottle,0.27,no,lotion,0.07,no,yes
38,soap_dispenser,straight_45,soap_dispenser-straight_45.jpg,no,no,224,soap_dispenser,0.72,yes,water_bottle,0.15,no,lotion,0.05,no,yes,299,soap_dispenser,0.79,yes,lotion,0.20,no,sunscreen,0.00,no,yes,331,soap_dispenser,0.53,yes,lotion,0.27,no,sunscreen,0.01,no,yes
39,soap_dispenser,straight_on,soap_dispenser-straight_on.jpg,no,no,224,soap_dispenser,0.98,yes,water_bottle,0.00,no,lotion,0.00,no,yes,299,lotion,0.68,no,soap_dispenser,0.21,yes,hair_spray,0.02,no,yes,331,soap_dispenser,0.46,yes,lotion,0.37,no,sunscreen,0.01,no,yes
40,soap_dispenser,upside_down,soap_dispenser-upside_down.jpg,no,no,224,parking_meter,0.71,no,goblet,0.05,no,soap_dispenser,0.04,yes,yes,299,soap_dispenser,0.48,yes,parking_meter,0.30,no,sunscreen,0.08,no,yes,331,soap_dispenser,0.91,yes,goblet,0.02,no,lotion,0.01,no,yes
41,sunglasses,back,sunglasses-back.jpg,no,yes,224,puck,0.86,no,basketball,0.01,no,tick,0.01,no,no,299,sunglasses,0.81,yes,sunglass,0.19,no,sandbar,0.00,no,yes,331,sunglasses,0.51,yes,sunglass,0.46,no,sandbar,0.00,no,yes
42,sunglasses,from_left,sunglasses-from_left.jpg,no,yes,224,mousetrap,0.11,no,barbell,0.10,no,racer,0.09,no,no,299,spindle,0.14,no,hook,0.07,no,loupe,0.07,no,no,331,barbell,0.80,no,mousetrap,0.04,no,spindle,0.01,no,no
43,sunglasses,from_right,sunglasses-from_right.jpg,no,yes,224,nail,0.11,no,sandbar,0.07,no,hook,0.06,no,no,299,sandbar,0.26,no,walking_stick,0.16,no,hammer,0.07,no,no,331,barbell,0.68,no,tricycle,0.06,no,sandbar,0.04,no,no
44,sunglasses,on_its_side,sunglasses-on_its_side.jpg,no,yes,224,puck,0.38,no,nail,0.22,no,screw,0.09,no,no,299,sunglasses,0.08,yes,sunglass,0.08,no,window_screen,0.04,no,yes,331,sunglasses,0.81,yes,sunglass,0.14,no,lens_cap,0.01,no,yes
45,sunglasses,overhead,sunglasses-overhead.jpg,no,yes,224,walking_stick,0.48,no,mantis,0.03,no,harvestman,0.03,no,no,299,ladle,0.09,no,strainer,0.06,no,nail,0.03,no,no,331,yawl,0.49,no,schooner,0.05,no,bow,0.04,no,no
46,sunglasses,rotated_from_side,sunglasses-rotated_from_side.jpg,no,yes,224,nail,0.79,no,screw,0.13,no,switch,0.01,no,no,299,sunglasses,0.55,yes,sunglass,0.21,no,pick,0.14,no,yes,331,sunglasses,0.83,yes,sunglass,0.10,no,lens_cap,0.01,no,yes
47,sunglasses,rotated_upside_down,sunglasses-rotated_upside_down.jpg,no,yes,224,puck,0.96,no,screw,0.01,no,pick,0.01,no,no,299,pick,0.61,no,sunglasses,0.15,yes,sunglass,0.05,no,yes,331,sunglasses,0.33,yes,sunglass,0.31,no,pick,0.21,no,yes
48,sunglasses,straight_45,sunglasses-straight_45.jpg,no,yes,224,puck,0.79,no,tick,0.06,no,pick,0.04,no,no,299,ladle,0.07,no,wok,0.05,no,goblet,0.05,no,no,331,strainer,0.45,no,safety_pin,0.20,no,bucket,0.04,no,no
49,sunglasses,straight_on,sunglasses-straight_on.jpg,no,yes,224,puck,0.80,no,balloon,0.07,no,soccer_ball,0.02,no,no,299,sunglasses,0.39,yes,sunglass,0.35,no,sandbar,0.03,no,yes,331,sunglasses,0.73,yes,sunglass,0.25,no,sandbar,0.00,no,yes
50,sunglasses,upside_down,sunglasses-upside_down.jpg,no,yes,224,puck,0.43,no,screw,0.22,no,nail,0.21,no,no,299,puck,0.51,no,screw,0.08,no,American_coot,0.04,no,no,331,sunglasses,0.34,yes,screw,0.27,no,sunglass,0.21,no,yes
51,umbrella,back,umbrella-back.jpg,no,yes,224,umbrella,0.79,yes,mortarboard,0.02,no,table_lamp,0.01,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,parachute,0.00,no,yes,331,umbrella,0.90,yes,kimono,0.00,no,tripod,0.00,no,yes
52,umbrella,from_left,umbrella-from_left.jpg,no,yes,224,umbrella,0.80,yes,mortarboard,0.03,no,table_lamp,0.03,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,carton,0.00,no,yes,331,umbrella,0.92,yes,table_lamp,0.00,no,kimono,0.00,no,yes
53,umbrella,from_right,umbrella-from_right.jpg,no,yes,224,umbrella,0.61,yes,mortarboard,0.03,no,table_lamp,0.02,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,lampshade,0.00,no,yes,331,umbrella,0.91,yes,kimono,0.00,no,table_lamp,0.00,no,yes
54,umbrella,on_its_side,umbrella-on_its_side.jpg,no,yes,224,umbrella,0.57,yes,mountain_tent,0.19,no,quill,0.09,no,yes,299,umbrella,0.78,yes,mountain_tent,0.03,no,swab,0.01,no,yes,331,umbrella,0.93,yes,mountain_tent,0.00,no,tripod,0.00,no,yes
55,umbrella,overhead,umbrella-overhead.jpg,no,yes,224,umbrella,0.99,yes,mortarboard,0.00,no,wall_clock,0.00,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,doormat,0.00,no,yes,331,umbrella,0.83,yes,kimono,0.00,no,tripod,0.00,no,yes
56,umbrella,rotated_from_side,umbrella-rotated_from_side.jpg,no,yes,224,carton,0.37,no,umbrella,0.09,yes,printer,0.07,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,doormat,0.00,no,yes,331,umbrella,0.89,yes,kimono,0.00,no,tripod,0.00,no,yes
57,umbrella,rotated_upside_down,umbrella-rotated_upside_down.jpg,no,yes,224,umbrella,0.99,yes,parachute,0.00,no,lampshade,0.00,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,miniskirt,0.00,no,yes,331,umbrella,0.89,yes,kimono,0.00,no,parachute,0.00,no,yes
58,umbrella,straight_45,umbrella-straight_45.jpg,no,yes,224,umbrella,0.92,yes,barn,0.01,no,quilt,0.01,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,doormat,0.00,no,yes,331,umbrella,0.89,yes,kimono,0.00,no,mountain_tent,0.00,no,yes
59,umbrella,straight_on,umbrella-straight_on.jpg,no,yes,224,umbrella,0.87,yes,mortarboard,0.04,no,table_lamp,0.02,no,yes,299,umbrella,1.00,yes,mountain_tent,0.00,no,lampshade,0.00,no,yes,331,umbrella,0.89,yes,kimono,0.00,no,table_lamp,0.00,no,yes
60,umbrella,upside_down,umbrella-upside_down.jpg,no,yes,224,wreck,0.45,no,pirate,0.13,no,aircraft_carrier,0.10,no,no,299,umbrella,0.96,yes,wok,0.01,no,barrow,0.01,no,yes,331,umbrella,0.99,yes,speedboat,0.00,no,washbsin,0.00,no,yes
61,wine_bottle,back,wine_bottle-back.jpg,no,yes,224,beer_bottle,0.55,no,wine_bottle,0.36,yes,pop_bottle,0.05,no,yes,299,wine_bottle,0.91,yes,beer_bottle,0.05,no,red_wine,0.02,no,yes,331,wine_bottle,0.84,yes,red_wine,0.03,no,beer_botte,0.03,no,yes
62,wine_bottle,from_left,wine_bottle-from_left.jpg,no,yes,224,wine_bottle,0.66,yes,beer_bottle,0.28,no,pop_bottle,0.02,no,yes,299,wine_bottle,0.83,yes,beer_bottle,0.12,no,red_wine,0.01,no,yes,331,wine_bottle,0.82,yes,beer_bottle,0.07,no,red_wine,0.02,no,yes
63,wine_bottle,from_right,wine_bottle-from_right.jpg,no,yes,224,beer_bottle,0.43,no,wine_bottle,0.39,yes,pop_bottle,0.12,no,yes,299,wine_bottle,0.84,yes,beer_bottle,0.10,no,red_wine,0.01,no,yes,331,wine_bottle,0.84,yes,beer_bottle,0.03,no,red_wine,0.02,no,yes
64,wine_bottle,on_its_side,wine_bottle-on_its_side.jpg,no,yes,224,beer_bottle,0.62,no,pop_bottle,0.17,no,wine_bottle,0.08,yes,yes,299,beer_bottle,0.87,no,wine_bottle,0.10,yes,pop_bottle,0.02,no,yes,331,beer_bottle,0.63,no,wine_bottle,0.22,yes,beer_glass,0.01,no,yes
65,wine_bottle,overhead,wine_bottle-overhead.jpg,no,yes,224,screw,0.47,no,ballpoint,0.04,no,puck,0.02,no,no,299,bottlecap,0.14,no,switch,0.06,no,plunger,0.04,no,no,331,puck,0.66,no,thimble,0.10,no,washbasin,0.04,no,no
66,wine_bottle,rotated_from_side,wine_bottle-rotated_from_side.jpg,no,yes,224,beer_bottle,0.52,no,wine_bottle,0.42,yes,red_wine,0.03,no,yes,299,wine_bottle,0.58,yes,beer_bottle,0.11,no,red_wine,0.04,no,yes,331,wine_bottle,0.72,yes,beer_bottle,0.10,no,red_wine,0.07,no,yes
67,wine_bottle,rotated_upside_down,wine_bottle-rotated_upside_down.jpg,no,yes,224,wine_bottle,0.48,yes,beer_bottle,0.36,no,red_wine,0.05,no,yes,299,beer_bottle,0.38,no,wine_bottle,0.18,yes,red_wine,0.02,no,yes,331,beer_bottle,0.76,no,wine_bottle,0.15,yes,red_wine,0.01,no,yes
68,wine_bottle,straight_45,wine_bottle-straight_45.jpg,no,yes,224,beer_bottle,0.76,no,wine_bottle,0.14,yes,pop_bottle,0.06,no,yes,299,beer_bottle,0.43,no,pop_bottle,0.03,no,wine_bottle,0.03,yes,yes,331,wine_bottle,0.71,yes,beer_bottle,0.12,no,red_wine,0.02,no,yes
69,wine_bottle,straight_on,wine_bottle-straight_on.jpg,no,yes,224,beer_bottle,0.43,no,wine_bottle,0.35,yes,red_wine,0.07,no,yes,299,wine_bottle,0.80,yes,beer_bottle,0.13,no,red_wine,0.01,no,yes,331,wine_bottle,0.72,yes,beer_bottle,0.10,no,red_wine,0.05,no,yes
70,wine_bottle,upside_down,wine_bottle-upside_down.jpg,no,yes,224,beer_bottle,0.47,no,beer_glass,0.34,no,wine_bottle,0.06,yes,yes,299,beer_bottle,0.16,no,pop_bottle,0.06,no,beer_glass,0.05,no,no,331,beer_bottle,0.51,no,wine_bottle,0.39,yes,pop_bottle,0.03,no,yes
